Time,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15
Kiddie,7,2,6,4,0,1,3,5,7,2,6,8,9,11,1,10,3,2,12,4,7,8,9,6,10,11,5,12,4,7,8,9,6,10
Dive,5,7,2,6,4,0,1,3,5,7,2,6,8,9,11,1,10,3,2,12,4,7,8,9,6,10,11,5,12,4,7,8,9,6
Main,3,5,7,2,6,4,0,1,3,5,7,2,6,8,9,11,1,10,3,2,12,4,7,8,9,6,10,11,5,12,4,7,5,9
Break,1,3,5,7,2,6,4,0,1,3,5,7,2,6,8,9,11,1,10,3,5,12,4,7,8,9,6,10,11,5,12,4,7,5
First Aid,0,1,3,5,7,2,6,4,0,1,3,5,7,2,0,8,9,11,6,10,11,5,12,4,7,8,9,6,10,11,5,12,4,7
Slide,4,0,1,3,5,7,2,6,4,0,1,3,5,7,2,0,8,9,11,6,10,11,5,12,4,7,8,9,6,10,11,5,12,4
Main2,-1,-1,-1,-1,-1,-1,-1,-1,8,4,0,1,3,0,7,-1,4,8,9,11,6,10,11,5,12,4,7,8,9,6,10,11,-1,-1
Rover,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,3,-1,-1,-1,5,8,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Lap,6,4,0,1,3,5,7,2,6,8,4,0,1,10,3,2,0,4,5,8,9,6,10,11,5,12,4,7,8,9,6,10,11,12
See Manager,2,6,4,0,1,3,5,7,2,6,8,4,0,1,10,3,2,0,4,5,8,9,6,10,11,5,12,4,7,8,9,6,10,11
Bathroom Break,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
